GeneID	GOTerm	GOTermDescription	Description	Alias	EntrezID	Source
GPD1	GO:0005975	"""Carbohydrate metabolism"""	NAD-dependent glycerol-3-phosphate dehydrogenase	YDL022W|DAR1|HOR1|OSG1|OSR5|glycerol-3-phosphate dehydrogenase (NAD(+)) GPD1	20180922	InterPro
SUC2	GO:0005975	"""Carbohydrate metabolism"""	Invertase	YIL162W|beta-fructofuranosidase SUC2	20180922	InterPro
SUC2	GO:0005975	"""Carbohydrate metabolism"""	Invertase	YIL162W|beta-fructofuranosidase SUC2	20180922	InterPro
GAL1	GO:0005975	"""Carbohydrate metabolism"""	Galactokinase	YBR020W|galactokinase	20180922	UniProt
GAL4	GO:0005975	"""Carbohydrate metabolism"""	DNA-binding transcription factor required for activating GAL genes	YPL248C|GAL81|galactose-responsive transcription factor GAL4	20180922	UniProt
GAL80	GO:0005975	"""Carbohydrate metabolism"""	Transcriptional regulator involved in the repression of GAL genes	YML051W|transcription regulator GAL80	20180922	UniProt
GAL10	GO:0005975	"""Carbohydrate metabolism"""	UDP-glucose-4-epimerase	YBR019C|bifunctional UDP-glucose 4-epimerase/aldose 1-epimerase	20180922	InterPro
GAL10	GO:0005975	"""Carbohydrate metabolism"""	UDP-glucose-4-epimerase	YBR019C|bifunctional UDP-glucose 4-epimerase/aldose 1-epimerase	20180922	InterPro
GAL10	GO:0005975	"""Carbohydrate metabolism"""	UDP-glucose-4-epimerase	YBR019C|bifunctional UDP-glucose 4-epimerase/aldose 1-epimerase	20180922	UniProt
HXK1	GO:0005975	"""Carbohydrate metabolism"""	Hexokinase isoenzyme 1	YFR053C|hexokinase 1	20180922	InterPro
HXK1	GO:0005975	"""Carbohydrate metabolism"""	Hexokinase isoenzyme 1	YFR053C|hexokinase 1	20180922	InterPro
HXK1	GO:0005975	"""Carbohydrate metabolism"""	Hexokinase isoenzyme 1	YFR053C|hexokinase 1	20180922	InterPro
HXK2	GO:0005975	"""Carbohydrate metabolism"""	Hexokinase isoenzyme 2	YGL253W|HEX1|HKB|SCI2|hexokinase 2	20180922	InterPro
HXK2	GO:0005975	"""Carbohydrate metabolism"""	Hexokinase isoenzyme 2	YGL253W|HEX1|HKB|SCI2|hexokinase 2	20180922	InterPro
HXK2	GO:0005975	"""Carbohydrate metabolism"""	Hexokinase isoenzyme 2	YGL253W|HEX1|HKB|SCI2|hexokinase 2	20180922	InterPro
GPH1	GO:0005975	"""Carbohydrate metabolism"""	Glycogen phosphorylase required for the mobilization of glycogen	YPR160W|glycogen phosphorylase	20180922	InterPro
GPH1	GO:0005975	"""Carbohydrate metabolism"""	Glycogen phosphorylase required for the mobilization of glycogen	YPR160W|glycogen phosphorylase	20180922	InterPro
GPH1	GO:0005975	"""Carbohydrate metabolism"""	Glycogen phosphorylase required for the mobilization of glycogen	YPR160W|glycogen phosphorylase	20180922	UniProt
SGA1	GO:0005975	"""Carbohydrate metabolism"""	Intracellular sporulation-specific glucoamylase	"YIL099W|glucan 1,4-alpha-glucosidase"	20180922	UniProt
GAL7	GO:0005975	"""Carbohydrate metabolism"""	Galactose-1-phosphate uridyl transferase	YBR018C|UDP-glucose:hexose-1-phosphate uridylyltransferase	20180922	UniProt
IMA3	GO:0005975	"""Carbohydrate metabolism"""	Alpha-glucosidase	"YIL172C|oligo-1,6-glucosidase IMA3"	20180922	InterPro
IMA4	GO:0005975	"""Carbohydrate metabolism"""	Alpha-glucosidase	"YJL221C|FSP2|oligo-1,6-glucosidase IMA4"	20180922	InterPro
ZWF1	GO:0005975	"""Carbohydrate metabolism"""	Glucose-6-phosphate dehydrogenase (G6PD)	YNL241C|MET19|POS10|glucose-6-phosphate dehydrogenase	20180922	UniProt
SNF4	GO:0005975	"""Carbohydrate metabolism"""	Activating gamma subunit of the AMP-activated Snf1p kinase complex	YGL115W|CAT3|SCI1|AMP-activated serine/threonine-protein kinase regulatory subunit SNF4	20180922	UniProt
TAL1	GO:0005975	"""Carbohydrate metabolism"""	"Transaldolase, enzyme in the non-oxidative pentose phosphate pathway"	YLR354C|sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate transaldolase TAL1	20180922	InterPro
TAL1	GO:0005975	"""Carbohydrate metabolism"""	"Transaldolase, enzyme in the non-oxidative pentose phosphate pathway"	YLR354C|sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate transaldolase TAL1	20180922	InterPro
BGL2	GO:0005975	"""Carbohydrate metabolism"""	"Endo-beta-1,3-glucanase"	"YGR282C|SCW9|glucan 1,3-beta-glucosidase"	20180922	InterPro
MDH1	GO:0005975	"""Carbohydrate metabolism"""	Mitochondrial malate dehydrogenase	YKL085W|malate dehydrogenase MDH1	20180922	InterPro
GLK1	GO:0005975	"""Carbohydrate metabolism"""	Glucokinase	YCL040W|HOR3|glucokinase	20180922	InterPro
GLK1	GO:0005975	"""Carbohydrate metabolism"""	Glucokinase	YCL040W|HOR3|glucokinase	20180922	InterPro
GLK1	GO:0005975	"""Carbohydrate metabolism"""	Glucokinase	YCL040W|HOR3|glucokinase	20180922	InterPro
AMS1	GO:0005975	"""Carbohydrate metabolism"""	Vacuolar alpha mannosidase	YGL156W|alpha-mannosidase	20180922	InterPro
AMS1	GO:0005975	"""Carbohydrate metabolism"""	Vacuolar alpha mannosidase	YGL156W|alpha-mannosidase	20180922	InterPro
RBK1	GO:0005975	"""Carbohydrate metabolism"""	Putative ribokinase	YCR036W|putative ribokinase	20180922	UniProt
MIG1	GO:0005975	"""Carbohydrate metabolism"""	Transcription factor involved in glucose repression	YGL035C|CAT4|SSN1|TDS22|transcription factor MIG1	20180922	UniProt
CTS1	GO:0005975	"""Carbohydrate metabolism"""	Endochitinase	YLR286C|SCW2	20180922	InterPro
CTS1	GO:0005975	"""Carbohydrate metabolism"""	Endochitinase	YLR286C|SCW2	20180922	InterPro
CTS1	GO:0005975	"""Carbohydrate metabolism"""	Endochitinase	YLR286C|SCW2	20180922	UniProt
MDH3	GO:0005975	"""Carbohydrate metabolism"""	Peroxisomal malate dehydrogenase	YDL078C|malate dehydrogenase MDH3	20180922	InterPro
KRE6	GO:0005975	"""Carbohydrate metabolism"""	Type II integral membrane protein	YPR159W|CWH48|beta-glucan synthesis-associated protein KRE6	20180922	InterPro
GLC7	GO:0005975	"""Carbohydrate metabolism"""	Type 1 S/T protein phosphatase (PP1) catalytic subunit	YER133W|CID1|DIS2|PP1|DIS2S1|type 1 serine/threonine-protein phosphatase catalytic subunit GLC7	20180922	UniProt
SPR1	GO:0005975	"""Carbohydrate metabolism"""	"Sporulation-specific exo-1,3-beta-glucanase"	"YOR190W|SSG1|glucan 1,3-beta-glucosidase"	20180922	InterPro
SPR1	GO:0005975	"""Carbohydrate metabolism"""	"Sporulation-specific exo-1,3-beta-glucanase"	"YOR190W|SSG1|glucan 1,3-beta-glucosidase"	20180922	InterPro
UTR2	GO:0005975	"""Carbohydrate metabolism"""	Chitin transglycosylase	YEL040W|CRH2	20180922	InterPro
GLC3	GO:0005975	"""Carbohydrate metabolism"""	"Glycogen branching enzyme, involved in glycogen accumulation"	"YEL011W|GHA1|1,4-alpha-glucan branching enzyme"	20180922	InterPro
GLC3	GO:0005975	"""Carbohydrate metabolism"""	"Glycogen branching enzyme, involved in glycogen accumulation"	"YEL011W|GHA1|1,4-alpha-glucan branching enzyme"	20180922	InterPro
GLC3	GO:0005975	"""Carbohydrate metabolism"""	"Glycogen branching enzyme, involved in glycogen accumulation"	"YEL011W|GHA1|1,4-alpha-glucan branching enzyme"	20180922	InterPro
SKN1	GO:0005975	"""Carbohydrate metabolism"""	Protein involved in sphingolipid biosynthesis	YGR143W|beta-glucan synthesis-associated protein SKN1	20180922	InterPro
PGM2	GO:0005975	"""Carbohydrate metabolism"""	Phosphoglucomutase	YMR105C|GAL5|phosphoglucomutase PGM2	20180922	InterPro
PGM2	GO:0005975	"""Carbohydrate metabolism"""	Phosphoglucomutase	YMR105C|GAL5|phosphoglucomutase PGM2	20180922	InterPro
PGM2	GO:0005975	"""Carbohydrate metabolism"""	Phosphoglucomutase	YMR105C|GAL5|phosphoglucomutase PGM2	20180922	InterPro
PGM2	GO:0005975	"""Carbohydrate metabolism"""	Phosphoglucomutase	YMR105C|GAL5|phosphoglucomutase PGM2	20180922	InterPro
PGM2	GO:0005975	"""Carbohydrate metabolism"""	Phosphoglucomutase	YMR105C|GAL5|phosphoglucomutase PGM2	20180922	InterPro
PGM2	GO:0005975	"""Carbohydrate metabolism"""	Phosphoglucomutase	YMR105C|GAL5|phosphoglucomutase PGM2	20180922	UniProt
SOL2	GO:0005975	"""Carbohydrate metabolism"""	Protein with a possible role in tRNA export	YCR073W-A|YCRX13W	20180922	InterPro
SOL2	GO:0005975	"""Carbohydrate metabolism"""	Protein with a possible role in tRNA export	YCR073W-A|YCRX13W	20180922	InterPro
SOL3	GO:0005975	"""Carbohydrate metabolism"""	6-phosphogluconolactonase	YHR163W|6-phosphogluconolactonase SOL3	20180922	InterPro
SOL3	GO:0005975	"""Carbohydrate metabolism"""	6-phosphogluconolactonase	YHR163W|6-phosphogluconolactonase SOL3	20180922	InterPro
CAT8	GO:0005975	"""Carbohydrate metabolism"""	Zinc cluster transcriptional activator	YMR280C|DIL1|MSP8|DNA-binding transcription factor CAT8	20180922	UniProt
PCL6	GO:0005975	"""Carbohydrate metabolism"""	Pho85p cyclin of the Pho80p subfamily	YER059W	20180922	UniProt
SIM1	GO:0005975	"""Carbohydrate metabolism"""	"Protein of the SUN family (Sim1p, Uth1p, Nca3p, Sun4p)"	YIL123W|putative glucosidase SIM1	20180922	UniProt
PKP1	GO:0005975	"""Carbohydrate metabolism"""	Mitochondrial protein kinase	YIL042C|protein kinase PKP1	20180922	UniProt
IMA5	GO:0005975	"""Carbohydrate metabolism"""	Alpha-glucosidase	"YJL216C|oligo-1,6-glucosidase IMA5"	20180922	InterPro
GLC8	GO:0005975	"""Carbohydrate metabolism"""	Regulatory subunit of protein phosphatase 1 (Glc7p)	YMR311C	20180922	UniProt
GPD2	GO:0005975	"""Carbohydrate metabolism"""	NAD-dependent glycerol 3-phosphate dehydrogenase	YOL059W|GPD3|glycerol-3-phosphate dehydrogenase (NAD(+)) GPD2	20180922	InterPro
XKS1	GO:0005975	"""Carbohydrate metabolism"""	Xylulokinase	YGR194C|xylulokinase	20180922	InterPro
XKS1	GO:0005975	"""Carbohydrate metabolism"""	Xylulokinase	YGR194C|xylulokinase	20180922	InterPro
RPE1	GO:0005975	"""Carbohydrate metabolism"""	D-ribulose-5-phosphate 3-epimerase	YJL121C|EPI1|POS18|ribulose-phosphate 3-epimerase RPE1	20180922	InterPro
RPE1	GO:0005975	"""Carbohydrate metabolism"""	D-ribulose-5-phosphate 3-epimerase	YJL121C|EPI1|POS18|ribulose-phosphate 3-epimerase RPE1	20180922	UniProt
ATH1	GO:0005975	"""Carbohydrate metabolism"""	Acid trehalase required for utilization of extracellular trehalose	"YPR026W|alpha,alpha-trehalase ATH1"	20180922	InterPro
ATH1	GO:0005975	"""Carbohydrate metabolism"""	Acid trehalase required for utilization of extracellular trehalose	"YPR026W|alpha,alpha-trehalase ATH1"	20180922	InterPro
ATH1	GO:0005975	"""Carbohydrate metabolism"""	Acid trehalase required for utilization of extracellular trehalose	"YPR026W|alpha,alpha-trehalase ATH1"	20180922	InterPro
SOL1	GO:0005975	"""Carbohydrate metabolism"""	Protein with a possible role in tRNA export	YNR034W	20180922	InterPro
SOL1	GO:0005975	"""Carbohydrate metabolism"""	Protein with a possible role in tRNA export	YNR034W	20180922	InterPro
PCL10	GO:0005975	"""Carbohydrate metabolism"""	Pho85p cyclin	YGL134W	20180922	UniProt
NQM1	GO:0005975	"""Carbohydrate metabolism"""	Transaldolase of unknown function	YGR043C|sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate transaldolase NQM1	20180922	InterPro
NQM1	GO:0005975	"""Carbohydrate metabolism"""	Transaldolase of unknown function	YGR043C|sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate transaldolase NQM1	20180922	InterPro
CRH1	GO:0005975	"""Carbohydrate metabolism"""	Chitin transglycosylase	YGR189C|transglycosylase	20180922	InterPro
SCW4	GO:0005975	"""Carbohydrate metabolism"""	Cell wall protein with similarity to glucanases	YGR279C|putative family 17 glucosidase	20180922	InterPro
YMR099C	GO:0005975	"""Carbohydrate metabolism"""	Glucose-6-phosphate 1-epimerase (hexose-6-phosphate mutarotase)	YMR099C|glucose-6-phosphate 1-epimerase	20180922	InterPro
YMR099C	GO:0005975	"""Carbohydrate metabolism"""	Glucose-6-phosphate 1-epimerase (hexose-6-phosphate mutarotase)	YMR099C|glucose-6-phosphate 1-epimerase	20180922	InterPro
EMI2	GO:0005975	"""Carbohydrate metabolism"""	Non-essential protein of unknown function	YDR516C|putative glucokinase	20180922	InterPro
EMI2	GO:0005975	"""Carbohydrate metabolism"""	Non-essential protein of unknown function	YDR516C|putative glucokinase	20180922	InterPro
EMI2	GO:0005975	"""Carbohydrate metabolism"""	Non-essential protein of unknown function	YDR516C|putative glucokinase	20180922	InterPro
YDR109C	GO:0005975	"""Carbohydrate metabolism"""	D-ribulokinase	YDR109C|putative phosphotransferase	20180922	InterPro
YDR109C	GO:0005975	"""Carbohydrate metabolism"""	D-ribulokinase	YDR109C|putative phosphotransferase	20180922	InterPro
YDR109C	GO:0005975	"""Carbohydrate metabolism"""	D-ribulokinase	YDR109C|putative phosphotransferase	20180922	InterPro
SCW10	GO:0005975	"""Carbohydrate metabolism"""	Cell wall protein with similarity to glucanases	YMR305C|putative family 17 glucosidase	20180922	InterPro
CRR1	GO:0005975	"""Carbohydrate metabolism"""	Putative glycoside hydrolase of the spore wall envelope	YLR213C|putative glycosylase	20180922	InterPro
CRR1	GO:0005975	"""Carbohydrate metabolism"""	Putative glycoside hydrolase of the spore wall envelope	YLR213C|putative glycosylase	20180922	InterPro
YLR446W	GO:0005975	"""Carbohydrate metabolism"""	Putative hexokinase	YLR446W|hexokinase	20180922	InterPro
YLR446W	GO:0005975	"""Carbohydrate metabolism"""	Putative hexokinase	YLR446W|hexokinase	20180922	InterPro
YLR446W	GO:0005975	"""Carbohydrate metabolism"""	Putative hexokinase	YLR446W|hexokinase	20180922	InterPro
ATG26	GO:0005975	"""Carbohydrate metabolism"""	UDP-glucose:sterol glucosyltransferase	YLR189C|UGT51	20180922	InterPro
CTS2	GO:0005975	"""Carbohydrate metabolism"""	Putative chitinase	YDR371W|putative chitinase	20180922	InterPro
CTS2	GO:0005975	"""Carbohydrate metabolism"""	Putative chitinase	YDR371W|putative chitinase	20180922	InterPro
CTS2	GO:0005975	"""Carbohydrate metabolism"""	Putative chitinase	YDR371W|putative chitinase	20180922	UniProt
CDA2	GO:0005975	"""Carbohydrate metabolism"""	Chitin deacetylase	YLR308W|chitin deacetylase CDA2	20180922	UniProt
CDA1	GO:0005975	"""Carbohydrate metabolism"""	Chitin deacetylase	YLR307W|chitin deacetylase CDA1	20180922	UniProt
CDA2	GO:0005975	"""Carbohydrate metabolism"""	Chitin deacetylase	YLR308W|chitin deacetylase CDA2	20180922	InterPro
CDA2	GO:0005975	"""Carbohydrate metabolism"""	Chitin deacetylase	YLR308W|chitin deacetylase CDA2	20180922	InterPro
XYL2	GO:0005975	"""Carbohydrate metabolism"""	Xylitol dehydrogenase	YLR070C|D-xylulose reductase XYL2	20180922	UniProt
IMA2	GO:0005975	"""Carbohydrate metabolism"""	"Isomaltase (alpha-1,6-glucosidase/alpha-methylglucosidase)"	"YOL157C|oligo-1,6-glucosidase IMA2"	20180922	InterPro
PCL8	GO:0005975	"""Carbohydrate metabolism"""	Cyclin	YPL219W	20180922	UniProt
CIT2	GO:0005975	"""Carbohydrate metabolism"""	"Citrate synthase, peroxisomal isozyme involved in glyoxylate cycle"	YCR005C|citrate (Si)-synthase CIT2	20180508	GO_Central
CIT3	GO:0005975	"""Carbohydrate metabolism"""	Dual specificity mitochondrial citrate and methylcitrate synthase	YPR001W|citrate (Si)-synthase CIT3	20180508	GO_Central
GLC3	GO:0005975	"""Carbohydrate metabolism"""	"Glycogen branching enzyme, involved in glycogen accumulation"	"YEL011W|GHA1|1,4-alpha-glucan branching enzyme"	20170616	GO_Central
CIT1	GO:0005975	"""Carbohydrate metabolism"""	Citrate synthase	YNR001C|CS1|LYS6|citrate (Si)-synthase CIT1	20180508	GO_Central
CDC9	GO:0000278	"""Cell cycle"""	DNA ligase I found in nucleus and mitochondria	YDL164C|MMS8|DNA ligase (ATP) CDC9	20070810	SGD
MTW1	GO:0000278	"""Cell cycle"""	Essential component of the MIND kinetochore complex	YAL034W-A|DSN3|NSL2|MIND complex subunit MTW1	20180922	InterPro
YCS4	GO:0000278	"""Cell cycle"""	Subunit of the condensin complex	YLR272C|LOC7|condensin subunit YCS4	20180922	InterPro
POL30	GO:0000278	"""Cell cycle"""	Proliferating cell nuclear antigen (PCNA)	YBR088C|PCNA|proliferating cell nuclear antigen	20140424	SGD
SPO12	GO:0000278	"""Cell cycle"""	Nucleolar protein of unknown function	YHR152W|SDB21	20020529	SGD
SPO12	GO:0000278	"""Cell cycle"""	Nucleolar protein of unknown function	YHR152W|SDB21	20020529	SGD
DSL1	GO:0000278	"""Cell cycle"""	Peripheral membrane protein needed for Golgi-to-ER retrograde traffic	YNL258C|RNS1	20180922	InterPro
REI1	GO:0000278	"""Cell cycle"""	Cytoplasmic pre-60S factor	YBR267W	20040624	SGD
RFC1	GO:0000278	"""Cell cycle"""	Subunit of heteropentameric Replication factor C (RF-C)	YOR217W|CDC44|replication factor C subunit 1	20070810	SGD
RFC1	GO:0000278	"""Cell cycle"""	Subunit of heteropentameric Replication factor C (RF-C)	YOR217W|CDC44|replication factor C subunit 1	20070810	SGD
RFC1	GO:0000278	"""Cell cycle"""	Subunit of heteropentameric Replication factor C (RF-C)	YOR217W|CDC44|replication factor C subunit 1	20140424	SGD
CDC14	GO:0000278	"""Cell cycle"""	Protein phosphatase required for mitotic exit	YFR028C|OAF3|phosphoprotein phosphatase CDC14	20070810	SGD
SFG1	GO:0000278	"""Cell cycle"""	Nuclear protein putative transcription factor	YOR315W	20111212	SGD
KAR3	GO:0000278	"""Cell cycle"""	Minus-end-directed microtubule motor	YPR141C|OSR11	20021202	SGD
ALK2	GO:0000278	"""Cell cycle"""	Protein kinase	YBL009W|protein kinase ALK2	20061031	SGD
ALK1	GO:0000278	"""Cell cycle"""	Protein kinase	YGL021W|protein kinase ALK1	20030527	SGD
ALK1	GO:0000278	"""Cell cycle"""	Protein kinase	YGL021W|protein kinase ALK1	20061031	SGD
SAC3	GO:0000278	"""Cell cycle"""	mRNA export factor	YDR159W|LEP1	20010118	SGD
